dependent,variable,coefficient,se,pval,lower_bound,upper_bound,keep
clearance,Reactions_own,0.05600831587760996,0.009057176883133356,7.160725346011532e-10,0.03825624918666858,0.07376038256855133,1
clearance,Short passing,0.004968168666342207,0.0032239119676315273,0.12341994030188386,-0.0013506987902155857,0.0112870361229,0
clearance,Short passing_other,0.010799039974321143,0.011381059822367486,0.3427728180044145,-0.011507837277519127,0.033105917226161415,0
clearance,Short passing_own,-0.03170228480010393,0.014188673668567775,0.02553897866017918,-0.05951208519049677,-0.003892484409711093,1
clearance,Shot power,-0.004197876192580374,0.0025658761769405927,0.10194283782254088,-0.009226993499383936,0.0008312411142231873,0
clearance,Shot power_other,0.009169813773682768,0.007298857949135467,0.20909848592937696,-0.005135947806622748,0.02347557535398828,0
clearance,Shot power_own,0.023936232183549063,0.00815382894107352,0.0033561526086818283,0.007954727459044963,0.03991773690805316,1
clearance,Sliding tackle,-0.0038130528398137966,0.00720295215618207,0.5965879791627993,-0.017930839065930654,0.010304733386303062,0
clearance,Sliding tackle_other,-0.01844245129316631,0.011088453630186308,0.09638112636035556,-0.04017582040833147,0.0032909178219988518,0
clearance,Sliding tackle_own,0.0021423105477087106,0.01229152998726528,0.8616488080964997,-0.02194908822733124,0.02623370932274866,0
clearance,Sprint speed,0.0036202933500177,0.0032308292365042035,0.262576538318986,-0.002712131953530539,0.009952718653565939,0
clearance,Sprint speed_other,-0.004806119407705027,0.008260834241389604,0.560750693235025,-0.02099735452082865,0.011385115705418596,0
clearance,Sprint speed_own,0.00030653660070305234,0.009418237754222214,0.974038036416329,-0.018153209397572485,0.01876628259897859,0
clearance,Stamina,-0.0040275344761388256,0.003135272891847096,0.19904178226484248,-0.010172669344159134,0.002117600391881482,0
clearance,Stamina_other,0.00941326160966309,0.006234788408929434,0.131207434384637,-0.0028069236718386015,0.02163344689116478,0
clearance,Stamina_own,0.009325628624202562,0.007020231813405594,0.18415575362237946,-0.004434025730072401,0.023085282978477527,0
clearance,Standing tackle,-0.003509038803000632,0.00674855337986061,0.6031259839134986,-0.016736203427527428,0.009718125821526164,0
clearance,Standing tackle_other,0.02659568103582497,0.011068710741394726,0.01633521431298779,0.004901007982691309,0.04829035408895863,1
clearance,Standing tackle_own,0.010607356589913651,0.013316522956829172,0.42577600270720595,-0.015493028405471527,0.036707741585298825,0
clearance,Strength,-0.0016893077388546365,0.0018116770941635106,0.35118117870690746,-0.005240194843415117,0.001861579365705844,0
clearance,Strength_other,-0.0029842054280064404,0.006368899507372743,0.6394210904785456,-0.015467248462457017,0.009498837606444134,0
clearance,Strength_own,-0.019814270187054568,0.0071937848829931724,0.005918459109311991,-0.033914088557721184,-0.005714451816387951,1
clearance,Vision,-0.0030407976250916764,0.0016758357280285971,0.06970760998198333,-0.006325435652027727,0.00024384040184437412,0
clearance,Vision_other,0.010108601041991213,0.006597369090427637,0.12558110525701416,-0.002822242375246956,0.023039444459229383,0
clearance,Vision_own,0.013330801297269334,0.00818470623905705,0.1034786994361967,-0.0027112229312824844,0.029372825525821152,0
clearance,Volleys,-0.005768055491954907,0.005673338095473902,0.3093857084107188,-0.016887798159083756,0.005351687175173942,0
clearance,Volleys_other,-0.0025764002907150206,0.00681372278067297,0.7053704190871204,-0.01593129694083404,0.010778496359404,0
clearance,Volleys_own,0.011751767019222372,0.007525831055162697,0.11851237550810834,-0.002998861848896514,0.026502395887341258,0
pass_good,Acceleration_y,0.06181136754950116,0.04087103751920428,0.13055660380523282,-0.01829586598813923,0.14191860108714155,0
pass_good,Acceleration_y_other,0.1391806891207279,0.12643390136039925,0.27106994995252665,-0.10862975754565463,0.3869911357871104,0
pass_good,Acceleration_y_own,0.09713503099341644,0.14007763063701498,0.4880923933654069,-0.17741712505513288,0.3716871870419658,0
pass_good,Aggression,0.04815545333530752,0.03180878413235569,0.13016223104716995,-0.014189763564109628,0.11050067023472467,0
