dependent,variable,coefficient,se,pval,lower_bound,upper_bound,keep
clearance,Positioning_other,-0.002043540220073966,0.004607234267414447,0.6573714320241817,-0.011073719384206282,0.0069866389440583505,0
clearance,Positioning_own,0.007714269633634561,0.004963144992641598,0.12012313781201556,-0.0020134945519429716,0.017442033819212093,0
clearance,RB,0.19747036274888347,,,,,1
clearance,RM,-0.0744518882954985,,,,,1
clearance,RW,-0.011934834010723537,,,,,1
clearance,RWB,-0.07586492661527836,,,,,1
clearance,Reactions,0.017041290091677874,0.0026449632233193285,2.085626116254957e-09,0.01185716217397199,0.022225418009383758,1
clearance,Reactions_other,0.024208122655556025,0.0042156048762241865,9.431085024047547e-09,0.015945537098156617,0.03247070821295543,1
clearance,Reactions_own,-0.03213841323528662,0.00461833519527791,3.51119133767952e-12,-0.04119035021803132,-0.02308647625254192,1
clearance,ST,-0.16017002674218955,,,,,1
clearance,Short passing,-0.005108753043245262,0.002471492917148769,0.0391173820218389,-0.00995287916085685,-0.0002646269256336752,1
clearance,Short passing_other,-0.008932543569741071,0.00651431207276816,0.17031941511221804,-0.021700595232366664,0.0038355080928845226,0
clearance,Short passing_own,-0.001261126740038751,0.006834266427300487,0.853601368714503,-0.014656288937547704,0.012134035457470204,0
clearance,Shot power,-0.0032843682784297673,0.0016029831039911322,0.04050642624273104,-0.006426215162252386,-0.00014252139460714823,1
clearance,Shot power_other,0.008424209038294958,0.004210531441759539,0.04542987537210896,0.0001715674124462621,0.016676850664143653,1
clearance,Shot power_own,0.008641733458401392,0.004501556621673801,0.05491949208509217,-0.00018131752007925772,0.01746478443688204,0
clearance,Sliding tackle,0.008042304727666141,0.0025546902444005645,0.00331584045216915,0.0030351118486410342,0.013049497606691248,1
clearance,Sliding tackle_other,0.0049149177814975294,0.006413533037254576,0.4434835829742285,-0.00765560697152144,0.017485442534516497,0
clearance,Sliding tackle_own,-0.04283646813959945,0.006836831847478632,3.773497070369558e-10,-0.05623665856065757,-0.029436277718541334,1
